,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,7386.8125
1,2860000,130,56593.1875
2,2860000,160,60227.203125
3,2860000,190,51522.90625
4,2860000,220,38875.890625
5,2860000,250,47972.203125
6,2860000,280,54741.0
7,2860000,310,53325.890625
8,2860000,340,45548.6875
9,2860000,370,38567.890625
10,2860000,400,41609.890625
11,2860000,430,49435.890625
12,2860000,460,50936.890625
13,2860000,490,46609.5
14,2860000,520,42101.59375
15,2860000,550,40421.203125
16,2860000,580,43843.90625
17,2860000,610,48123.40625
18,2860000,640,48375.40625
19,2860000,670,46356.6875
20,2860000,700,45049.1875
21,2860000,730,44971.703125
22,2860000,760,45700.0
23,2860000,790,46943.203125
24,2860000,820,46469.09375
25,2860000,850,45346.796875
26,2860000,880,44299.703125
27,2860000,910,42963.59375
28,2860000,940,43318.59375
29,2860000,970,44805.0
30,2860000,1000,45822.0
31,2860000,1030,46858.0
32,2860000,1060,45943.390625
33,2860000,1090,44533.296875
34,2860000,1120,44601.5
35,2860000,1150,46237.40625
36,2860000,1180,47196.0
37,2860000,1210,46590.390625
38,2860000,1240,44538.703125
39,2860000,1270,42180.109375
40,2860000,1300,43212.203125
41,2860000,1330,46021.390625
42,2860000,1360,46875.40625
43,2860000,1390,45895.59375
44,2860000,1420,43730.0
45,2860000,1450,43058.5
46,2860000,1480,44844.796875
47,2860000,1510,47504.90625
48,2860000,1540,47572.59375
49,2860000,1570,45421.203125
50,2860000,1600,43564.5
51,2860000,1630,43699.90625
52,2860000,1660,45506.203125
53,2860000,1690,46531.90625
54,2860000,1720,45913.3125
55,2860000,1750,43468.40625
56,2860000,1780,42614.40625
57,2860000,1810,44266.796875
58,2860000,1840,46045.40625
59,2860000,1870,46834.09375
60,2860000,1900,45760.5
61,2860000,1930,44348.0
62,2860000,1960,44240.0
63,2860000,1990,45209.390625
64,2860000,2020,46246.59375
65,2860000,2050,45734.0
66,2860000,2080,44600.703125
67,2860000,2110,43888.296875
68,2860000,2140,44499.796875
69,2860000,2170,45481.0
70,2860000,2200,45757.796875
71,2860000,2230,45265.296875
72,2860000,2260,44470.1875
73,2860000,2290,44593.40625
74,2860000,2320,44937.5
75,2860000,2350,45400.109375
76,2860000,2380,45600.40625
77,2860000,2410,45557.40625
78,2860000,2440,45516.890625
79,2860000,2470,45372.5
80,2860000,2500,45148.609375
81,2860000,2530,44997.390625
82,2860000,2560,44977.09375
83,2860000,2590,44845.90625
84,2860000,2620,44365.5
85,2860000,2650,44507.296875
86,2860000,2680,44636.5
87,2860000,2710,45319.609375
88,2860000,2740,45931.296875
89,2860000,2770,46039.09375
90,2860000,2800,45710.296875
91,2860000,2830,45042.8125
92,2860000,2860,44941.109375
93,2860000,2890,44870.203125
94,2860000,2920,45345.796875
95,2860000,2950,44976.890625
96,2860000,2980,44500.0
97,2860000,3010,44439.796875
98,2860000,3040,44894.390625
99,2860000,3070,45765.40625
100,2860000,3100,45944.5
101,2860000,3130,45403.40625
102,2860000,3160,44927.203125
103,2860000,3190,44907.1875
104,2860000,3220,45339.0
105,2860000,3250,45351.5
106,2860000,3280,45481.390625
107,2860000,3310,44901.203125
108,2860000,3340,44768.3125
109,2860000,3370,45193.703125
110,2860000,3400,45502.203125
111,2860000,3430,45525.5
112,2860000,3460,45008.609375
113,2860000,3490,44664.203125
114,2860000,3520,44837.609375
115,2860000,3550,45402.0
116,2860000,3580,45336.8125
117,2860000,3610,45551.5
118,2860000,3640,45235.0
119,2860000,3670,45163.703125
120,2860000,3700,45328.390625
121,2860000,3730,45512.703125
122,2860000,3760,45338.40625
123,2860000,3790,44993.5
124,2860000,3820,44584.8125
125,2860000,3850,44948.390625
126,2860000,3880,45167.40625
127,2860000,3910,45401.0
128,2860000,3940,45408.109375
129,2860000,3970,45321.609375
130,2860000,4000,45328.203125
131,2860000,4030,45367.0
132,2860000,4060,45346.5
133,2860000,4090,45320.0
134,2860000,4120,45294.203125
135,2860000,4150,45222.890625
136,2860000,4180,44945.0
137,2860000,4210,45214.0
138,2860000,4240,45277.703125
139,2860000,4270,45388.296875
140,2860000,4300,45370.796875
141,2860000,4330,45272.296875
142,2860000,4360,45163.6875
143,2860000,4390,45134.90625
144,2860000,4420,45307.1875
145,2860000,4450,45164.109375
146,2860000,4480,45637.796875
147,2860000,4510,45443.203125
148,2860000,4540,45343.5
149,2860000,4570,45316.09375
150,2860000,4600,45368.90625
151,2860000,4630,45362.0
152,2860000,4660,45179.5
153,2860000,4690,45036.390625
154,2860000,4720,45060.296875
155,2860000,4750,45267.703125
156,2860000,4780,45570.203125
157,2860000,4810,45639.5
158,2860000,4840,45242.609375
159,2860000,4870,45336.703125
160,2860000,4900,45301.0
161,2860000,4930,45390.90625
162,2860000,4960,45413.390625
163,2860000,4990,45525.609375
164,2860000,5020,45117.90625
165,2860000,5050,45140.703125
166,2860000,5080,45231.390625
167,2860000,5110,45510.796875
168,2860000,5140,45509.796875
169,2860000,5170,45352.203125
170,2860000,5200,45285.203125
171,2860000,5230,45251.09375
172,2860000,5260,45385.5
173,2860000,5290,45177.40625
174,2860000,5320,45429.5
175,2860000,5350,45332.703125
176,2860000,5380,45384.296875
177,2860000,5410,45419.796875
178,2860000,5440,45467.90625
179,2860000,5470,45481.5
180,2860000,5500,45347.296875
181,2860000,5530,45543.609375
182,2860000,5560,45279.90625
183,2860000,5590,45267.59375
184,2860000,5620,45383.0
185,2860000,5650,45459.5
186,2860000,5680,45484.203125
187,2860000,5710,45297.109375
188,2860000,5740,45468.703125
189,2860000,5770,45433.203125
190,2860000,5800,45405.609375
191,2860000,5830,45364.703125
192,2860000,5860,45352.796875
193,2860000,5890,45364.296875
194,2860000,5920,45319.5
195,2860000,5950,45327.109375
196,2860000,5980,45514.203125
197,2860000,6010,45529.390625
198,2860000,6040,45586.109375
199,2860000,6070,45410.59375
200,2860000,6100,45099.703125
201,2860000,6130,45388.40625
202,2860000,6160,45472.890625
203,2860000,6190,45554.203125
204,2860000,6220,45476.5
205,2860000,6250,45371.203125
206,2860000,6280,45396.296875
207,2860000,6310,45547.09375
208,2860000,6340,45278.390625
209,2860000,6370,45477.0
210,2860000,6400,45445.203125
211,2860000,6430,45375.390625
212,2860000,6460,45373.296875
213,2860000,6490,45530.5
214,2860000,6520,45523.5
215,2860000,6550,45506.203125
216,2860000,6580,45531.0
217,2860000,6610,45500.296875
218,2860000,6640,45501.203125
219,2860000,6670,45464.890625
220,2860000,6700,45258.703125
221,2860000,6730,45368.0
222,2860000,6760,45375.40625
223,2860000,6790,45381.1875
224,2860000,6820,45505.703125
225,2860000,6850,45486.5
226,2860000,6880,45545.703125
227,2860000,6910,45484.609375
228,2860000,6940,45533.390625
229,2860000,6970,45269.296875
230,2860000,7000,45499.59375
231,2860000,7030,45488.90625
232,2860000,7060,45446.5
233,2860000,7090,45448.796875
234,2860000,7120,45536.40625
235,2860000,7150,45551.40625
236,2860000,7180,45550.59375
237,2860000,7210,45512.390625
238,2860000,7240,45588.0
239,2860000,7270,45555.5
240,2860000,7300,45519.5
241,2860000,7330,45532.296875
242,2860000,7360,45250.296875
243,2860000,7390,45570.296875
244,2860000,7420,45572.609375
245,2860000,7450,45604.0
246,2860000,7480,45560.5
247,2860000,7510,45611.796875
248,2860000,7540,45515.0
249,2860000,7570,45550.203125
250,2860000,7600,45261.09375
251,2860000,7630,45505.296875
252,2860000,7660,45501.796875
253,2860000,7690,45515.203125
254,2860000,7720,45604.5
255,2860000,7750,45680.296875
256,2860000,7780,45640.5
257,2860000,7810,45559.390625
258,2860000,7840,45551.3125
259,2860000,7870,45584.8125
260,2860000,7900,45590.3125
261,2860000,7930,45568.40625
262,2860000,7960,45278.40625
263,2860000,7990,45560.703125
264,2860000,8020,45597.90625
265,2860000,8050,45608.296875
266,2860000,8080,45662.90625
267,2860000,8110,45588.09375
268,2860000,8140,45571.796875
269,2860000,8170,45580.796875
270,2860000,8200,45568.703125
271,2860000,8230,45590.390625
272,2860000,8260,45597.09375
273,2860000,8290,45557.703125
274,2860000,8320,45472.0
275,2860000,8350,45270.296875
276,2860000,8380,45621.5
277,2860000,8410,45559.5
278,2860000,8440,45598.390625
279,2860000,8470,45566.203125
280,2860000,8500,45536.5
281,2860000,8530,45302.59375
282,2860000,8560,45583.3125
283,2860000,8590,45603.890625
284,2860000,8620,45594.609375
285,2860000,8650,45638.203125
286,2860000,8680,45637.703125
287,2860000,8710,45670.5
288,2860000,8740,45611.09375
289,2860000,8770,45594.09375
290,2860000,8800,45649.40625
291,2860000,8830,45596.8125
292,2860000,8860,45676.609375
293,2860000,8890,45379.203125
294,2860000,8920,45595.890625
295,2860000,8950,45651.203125
296,2860000,8980,45689.90625
297,2860000,9010,45720.0
298,2860000,9040,45675.109375
299,2860000,9070,45629.296875
300,2860000,9100,45588.703125
